ORIGIN_AIRPORT,DESTINATION_AIRPORT,flight_count,event_count,mean_departure_delay
SFO,LAX,14762,3201,11.98259043490042
LAX,SFO,14438,3435,13.394375952347971
JFK,LAX,12971,1926,7.718063372137846
LAX,JFK,12963,2317,10.419733086476896
LAS,LAX,10590,2199,10.863456090651558
LAX,LAS,10469,2206,10.73731970579807
LGA,ORD,10119,1900,11.442039727245776
ORD,LGA,10082,2519,15.262547113667923
JFK,SFO,9166,1540,9.434104298494436
SFO,JFK,9163,1660,12.038524500709375
LAX,ORD,8963,1742,10.944215106549146
ATL,MCO,8925,1447,8.53624649859944
MCO,ATL,8920,1202,7.007511210762332
SFO,LAS,8756,1844,11.205116491548653
ATL,LGA,8677,1934,13.766393914947562
LGA,ATL,8657,1828,14.236687074044125
SEA,LAX,8620,1240,5.790371229698376
ORD,LAX,8614,2223,16.089621546319943
LAS,SFO,8610,2201,15.458536585365854
LAX,SEA,8565,1051,3.434442498540572
DFW,ORD,8426,1763,12.718490386897697
ORD,DFW,8194,2100,16.995362460336832
BOS,DCA,8148,1023,3.789273441335297
DCA,BOS,8144,1162,5.3870333988212185
ATL,FLL,8064,1411,9.406994047619047
FLL,ATL,8057,1076,6.61511728931364
ORD,SFO,8053,2343,18.35663727803303
SFO,ORD,8047,1597,11.881943581458929
PHX,LAX,7992,1569,9.677552552552553
LAX,PHX,7927,1730,10.87359656868929
DEN,PHX,7829,1489,9.831779282156086
PHX,DEN,7814,1583,10.19695418479652
ATL,TPA,7700,1375,9.563116883116884
TPA,ATL,7686,1004,6.643117356232111
DFW,ATL,7611,1300,10.383655235842859
ATL,DFW,7601,1221,9.45638731745823
SFO,SEA,7526,1397,9.190938081318098
SAN,SFO,7451,1725,13.38223057307744
SEA,SFO,7435,1706,12.595830531271016
SFO,SAN,7431,1405,10.098909971740008
LGA,BOS,7243,1357,9.634957890376915
BOS,LGA,7236,1257,9.630735212824765
LAX,DFW,7184,1179,9.641703786191536
DFW,LAX,7167,1633,14.285614622575695
PHL,ATL,7151,1205,10.104041392812194
ATL,PHL,7148,1447,11.29546726357023
ATL,ORD,7110,1364,12.465682137834037
BOS,ORD,7071,1214,9.44901711214821
ORD,BOS,7063,1784,14.718391618292511
ORD,ATL,7010,1567,15.020970042796005
ATL,DCA,6975,1223,9.216487455197132
DCA,ATL,6959,1019,9.363414283661445
CLT,ATL,6855,970,7.588621444201313
ATL,CLT,6851,838,5.046708509706612
ORD,MSP,6837,1802,16.689922480620154
DEN,LAS,6779,1419,10.531494320696268
LAS,DEN,6770,1345,10.646676514032496
MSP,ORD,6764,1393,13.431549379065642
MIA,LGA,6734,1581,12.766409266409266
LGA,MIA,6722,1175,9.638054150550431
SLC,DEN,6699,1135,7.555754590237349
HOU,DAL,6662,1307,10.838186730711499
DAL,HOU,6649,1383,10.947962099563844
DEN,DFW,6641,1301,11.949405210058726
DFW,DEN,6520,1354,11.566564417177915
DEN,SLC,6355,1226,8.900708103855232
BWI,ATL,6349,1088,11.178768309970074
ATL,BWI,6344,1092,9.239754098360656
ORD,DCA,6317,1417,13.689884438815893
DCA,ORD,6302,1069,10.744208187876865
LAX,DEN,6272,1433,12.403858418367347
PHX,SEA,6236,903,4.882296343810134
DEN,LAX,6226,1550,14.391583681336332
SEA,PHX,6225,826,5.544578313253012
ATL,LAX,6212,1156,9.890051513200257
LAX,ATL,6211,1092,8.932217034293995
ORD,DEN,6043,1751,20.79099784875062
MSP,DEN,6009,1020,8.351639207854884
DEN,MSP,6008,1179,9.913448735019973
SLC,LAX,5994,945,7.8752085418752085
DEN,ORD,5993,1344,15.277156682796596
LAX,SLC,5986,1141,9.058970932175075
PHX,SLC,5964,862,5.941482226693494
SLC,PHX,5952,742,5.320564516129032
PHX,LAS,5936,1102,8.361859838274933
LAS,PHX,5901,1032,8.226402304694119
DEN,SFO,5811,1667,16.62536568576837
JFK,MCO,5725,1092,11.162620087336245
MCO,JFK,5717,1560,21.016092356130837
PHL,BOS,5671,1044,8.874801622288837
BOS,PHL,5657,848,6.458193388721938
DEN,SEA,5653,1180,9.862904652396958
FLL,LGA,5650,1358,13.586548672566371
LGA,FLL,5647,1369,15.162564193377014
SEA,DEN,5605,894,7.485280999107939
MIA,ATL,5603,916,9.43316080671069
ATL,MIA,5601,799,6.798607391537225
DEN,ATL,5562,982,9.659475008989572
SAN,PHX,5545,990,8.581605049594229
PHX,SAN,5544,1004,7.557900432900433
SFO,DEN,5508,1245,13.314633260711693
LAS,SEA,5496,864,6.395924308588064
SEA,LAS,5488,703,4.4391399416909625
EWR,ATL,5471,936,11.283494790714677
ATL,EWR,5457,1203,14.556349642660802
EWR,SFO,5454,1520,18.0020168683535
SFO,EWR,5443,1160,13.48594525078082
ATL,DEN,5443,1096,12.162226713209627
BOS,JFK,5343,1055,13.268762867303014
JFK,BOS,5340,1134,13.462359550561798
PHX,SFO,5306,1339,13.077836411609498
SFO,PHX,5297,948,8.11836888804984
ATL,DTW,5286,952,10.057321225879683
DTW,ATL,5283,926,9.754684838160136
DEN,IAH,5208,1148,13.309331797235023
PHL,MCO,5192,1018,12.189907550077042
MCO,PHL,5176,1035,11.40629829984544
ATL,MSP,5160,821,7.957558139534884
MSP,ATL,5158,555,4.560100814269097
PHL,ORD,5152,983,11.083850931677018
ORD,PHL,5149,1236,14.884637793746359
MCO,EWR,5107,1230,15.641276679067946
EWR,MCO,5104,1248,15.239224137931034
ATL,BOS,5074,983,10.353173039022467
BOS,ATL,5064,835,10.438388625592417
ORD,CLT,5045,770,7.682259663032705
EWR,LAX,4972,1303,16.240949316170553
LAX,EWR,4971,1082,14.084892375779521
CLT,ORD,4941,868,10.120825743776564
MDW,ATL,4925,833,9.297055837563452
ATL,MDW,4923,858,9.949217956530571
